id,product,date,product_description,content,rating,brand
34592,"Mattress America Revive Gel Memory Foam Mattress, 12"" H, Queen",28 Mar 2020,,I love this bed! I purchased it because of the 3 inches of memory foam ( not 2). I also have a Tempur-Pedic in another room. I actually prefer this one because it’s softer! I would definitely recommend if you’re looking for a body hugging memory foam mattress!,5.0, 
48213,"Live and Sleep Queen Size Memory Foam Mattress, 10-Inch Cool Bed in a Box, Medium Firm, Certipur Certified + Premium Foam Pillow",16 Apr 2018,"Size: Queen Resort Sleep by Live and Sleep Mattresses are Top Rated with over 90% 5-star reviews - crafted with highest quality goods. No gimmicks. Just fair affordable price - Enjoy cooler sleep plus a better energized life. Comfort Feel: Medium to Medium-Firm (6-7 on a scale of 1 to 10 - 1 is softest, 10 is very hard) Supreme Topper: Conforms to your shape for pure rest. Dual elements provide leading body support, helps with posture and eases motion disturbance (bounce) between partners. Eco-Friendly viscose cushion and HD Bottom. Ortho-pedic support is ideal for side back or stomach sleepers. Not cheap in-expensive foam and existing sheets work. Naturally antimicrobial, hypoallergenic and dust mite resistant: Environmentally conscious, low-cost and CertiPUR-US Certified. Flex linen fabric has cloud like touch. Climate controlled manufacturing uses less chemicals and results in less gases, toxins and longer durability. Advanced Smart Form sets up the product to be rolled, bag sealed and makes a first-rate bed-in-a-box. 20-Year Warranty: 30 day full refund guarantee trial on mattress only and warranty for protection against manufacture defects. No coils or latex used. Use a bedding pad or protector on any mattress, futon, cot, tri-fold, rollaway or guest room bed","This is a great mattress.  Right out of the box, it did not take long to get to full size and was able to sleep on it the first night.  Sleeping much better now.",5.0,live and sleep
134502,TEMPUR-Adapt Medium Hybrid,5/23/2020, ,"Extremely comfortable. Seems to be of great quality, love this type of mattress compared to a Sealy. At this point will never go back to a regular mattress.",5.0,Tempur-Pedic
23325,TUFT & NEEDLE Queen Mattress - Adaptive Foam With Cooling Graphite And Gel Beads - Supportive Pressure Relief - CertiPUR-US - 100 Night Trial,17 Oct 2018,"Size: Queen | 
            
             Style: Original 10"" Tuft and Needle is a new mattress company that designs a universally comfortable foam mattress that is No.1 top rated on Amazon. Exclusively available online and made in the USA, the mattress ships right to your door. No gimmicks, no sales tactics, 30 night trial and easy returns.","What’s with the weird rating items? Durability- I can’t rate since it’s only a month old but so far so good. Lightweight- yeah um no, but it’s a mattress for cryin’ out loud that’s not why i bought it, lol Giftable- umm yeah weird gift but i guess you could. Now in with the real rating. Holy crap is it comfy.  Love it way more than my previous foam bed.  It’s supportive for me in all positions warm but not hot so glad i took a chance on this brand.  Would definitely buy again",5.0,tuft & needle
86586,"Modway Aveline 6"" Gel Infused Memory Foam Twin Mattress With CertiPUR-US Certified Foam",25 Oct 2018,"Size: Twin | 
            
             Style: 6 inch Take a deep breath and exhale because you've found your pathway to that perfect sleep with the Aveline 6 inch pressure relief twin memory foam mattress. Topped with gel-infused memory foam to keep your body climate steady, this firm twin mattress dissipates your body heat while quickly conforming to your weight and position. Sleep peacefully with an open cell ventilated memory foam solution that relieves pressure points, reduces bounce between two sleepers, and delivers welcome relief from the aches and pains of traditional twin mattresses. Aveline cooling gel twin mattress is CertiPUR-US certified by accredited independent testing laboratories, so you can be confident that the memory foam is made without formaldehyde, ozone depleters, mercury, and other heavy metals including PBDEs, TDCPP or TCEP (”Tris”) flame retardants, and is low on VOC. This 6 inch twin memory foam mattress comes vacuum-packed and rolled to fit into an easily portable box. It takes 2 to 4 hours for the twin gel mattress from your bed in a box to expand most of the way and a day to expand fully. Includes a removable stretch knit diamond patterned cover. Box spring or foundation is optional. Slatted bases should be less than 3"" apart.",Better than Orthopedic!,5.0,modway
130542,TEMPUR-Contour Elite Breeze,3/2/2019, ,HORRIBLE BED!. Worst bed EVER!It is NOT cool at all radiates heat. After the trial period didnt notice but I start sinking lower and lower screwing me up even more.  I have Cerebral Palsy so lots of musculoskeletal issues. Since I have gotten this nightmare medical bills have gone up I have to go to Chiropractor and massage therapy  at least 2 times a month to try undo  damage that it causes me.  When I try to file claim with the store I bought it from they told me to contact Tempurpedic contact them they gave me this bogus quarter test that does not show anything.  I would not reccommend this bed to my worst enemy.,1.0,Tempur-Pedic
97966,"Revel Custom Cool Mattress (King), Featuring All Climate Cooling Gel Memory Foam, Made in the USA with a 10-Year Warranty, Amazon Exclusive",02 Jan 2020,"Size: King Triple-layered, 12"" hypoallergenic memory foam mattress with 2"" Revel All Climate Cooling Gel top layer, 4"" support layer with airflow channels and 6"" long-lasting DuraBase foam. Medium-firm feel, provides ideal comfort and support for any body type or sleeping position so you awaken refreshed and energized for brighter mornings. Luxurious quilted cover for added comfort. Foam is proudly made in the USA by Innocor Inc. and CertiPUR US certified. Vacuum packed and shipped directly to you for easy and convenient setup. Comes with a 20-year warranty for lasting quality. Amazon Exclusive.",I love it would definitely recommend.,5.0,amazon
2950,Oliver Smith - Organic Cotton - 10 Inch - Perfect Sleep - Comfort Plush Euro Pillow Top - Cool Memory Foam & Pocket Spring Mattress - Green Foam Certified - Twin,19 Jul 2018,10 Inch Twin Organic Pocket Spring Memory Foam Mattress,Do not buy this bed. You will not get what you ordered. I can feel every spring in this bed and I will have to purchase another bed in three months.,1.0,oliver smith
103378,AMERISLEEP AS4 Memory Foam Mattress - QUEEN (MEDIUM SOFT) - Bed in a Box | Celliant Cover | Bio-Pur Plant Based Material | Cooler than Memory Foam | USA | 20-Yr Warranty,24 Jan 2020,"Style: AS4: MEDIUM SOFT | 
            
             Size: Queen The AS4 is our medium-soft mattress. It’s great for side sleepers, and anyone who likes more cushioning while they’re in bed. We combine our proprietary, cooling Bio-Pur foam and Affinity with SMT comfort foam layers to create a soft but responsive feel that relieves pressure points and makes you feel like you’re floating. Plus the high-performance Celliant cover is made with thermoreactive yarn to safely turn body heat into infrared.","This is directly from Amerisleep via email on 01/24/2020 Hi -----, Unfortunately anything not sold directly with Amerisleep does not come with the 20 year warranty or the 100 night sleep trial. Please let me know if you have any further questions I can assist you with, if you have any further questions please contact me at ------. Sleep well, -----------",1.0,amerisleep
1772,"Signature Sleep Contour Encased Mattress, Twin, White",21 Mar 2018,"Size: Twin | 
            
             Style: 8 Inch Sleep tight every night with our Signature Sleep Contour 8 inch reversible mattress. The core is made of independently encased coils, designed to eliminate motion disturbance and keep you sleeping soundly. We then covered these in a layer of foam to help distribute weight evenly and relieve pressure points from head to toe. This Signature Sleep mattress meets federal flammability standard 16 CFR 1633 and is shipped compressed, rolled and vacuum sealed for your convenience. Surround yourself with comfort and live the dream!","Nice product. Delivered compact but inflated quickly. No smell, medium firm, good support. Would buy again.",5.0,signature sleep
